market,strategy_id,fee_mult,slippage_mult,fee_bps,slippage_bps,sharpe,cagr,mdd,trades,turnover,win_rate,valid,violations,zero_close_count,ret_inf_count,strat_ret_clamp_count,cumret_clip_count
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,4,1.5,-0.061586849,7.5966291,-0.97392333,11586,15.204411,0.44115155,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,1,1,8,3,-0.078161692,7.5635609,-0.97516003,11586,15.204411,0.44101935,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,12,4.5,-0.093607804,7.530632,-0.97633873,11586,15.204411,0.44083865,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,2,2,16,6,-0.10874835,7.4978416,-0.97746214,11586,15.204411,0.44058631,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,0.5,0.5,4,1.5,-0.061586849,7.5966291,-0.97392333,11586,15.204411,0.44115155,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,1,1,8,3,-0.078161692,7.5635609,-0.97516003,11586,15.204411,0.44101935,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,1.5,1.5,12,4.5,-0.093607804,7.530632,-0.97633873,11586,15.204411,0.44083865,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,2,2,16,6,-0.10874835,7.4978416,-0.97746214,11586,15.204411,0.44058631,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,4,1.5,-0.095764554,2.2048177,-0.95085351,12759,13.334283,0.44169179,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,8,3,-0.11295618,2.1929728,-0.95230846,12759,13.334283,0.44132909,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,12,4.5,-0.12890157,2.1811926,-0.95372091,12759,13.334283,0.44094913,True,,0,0,0,0
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,16,6,-0.14448889,2.1694766,-0.95509208,12759,13.334283,0.44045263,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,4,1.5,-0.05516546,7.5213383,-0.96664105,12027,15.734032,0.43324927,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,1,1,8,3,-0.072564364,7.4886861,-0.96815239,12027,15.734032,0.4330948,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,12,4.5,-0.088841526,7.4561736,-0.96959606,12027,15.734032,0.43288843,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,2,2,16,6,-0.10480993,7.4238,-0.97097507,12027,15.734032,0.4325943,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,4,1.5,-0.09233679,2.1976614,-0.95004388,13395,13.795861,0.4326468,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,8,3,-0.11034384,2.1856058,-0.9514432,13395,13.795861,0.43228578,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,12,4.5,-0.12710531,2.1736187,-0.95280388,13395,13.795861,0.43188209,True,,0,0,0,0
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,16,6,-0.14350212,2.1616997,-0.95412695,13395,13.795861,0.43140791,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,4,1.5,-0.040121733,0.18828715,-0.98266208,7431,9.0210689,0.42889936,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,1,1,8,3,-0.052026603,0.18225495,-0.98304641,7431,9.0210689,0.42876745,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,12,4.5,-0.062722334,0.17625601,-0.98342243,7431,9.0210689,0.42866702,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,2,2,16,6,-0.073054144,0.17029016,-0.98379032,7431,9.0210689,0.42851273,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,0.5,0.5,4,1.5,-0.040121733,0.18828715,-0.98266208,7431,9.0210689,0.42889936,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,1,1,8,3,-0.052026603,0.18225495,-0.98304641,7431,9.0210689,0.42876745,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,1.5,1.5,12,4.5,-0.062722334,0.17625601,-0.98342243,7431,9.0210689,0.42866702,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,2,2,16,6,-0.073054144,0.17029016,-0.98379032,7431,9.0210689,0.42851273,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,0.5,0.5,4,1.5,-0.10038308,0.011283588,-0.98931478,8106,9.8760843,0.42696846,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,1,1,8,3,-0.11273029,0.0058041899,-0.98960949,8106,9.8760843,0.42677475,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,1.5,1.5,12,4.5,-0.12378114,0.00035826983,-0.98989624,8106,9.8760843,0.42656768,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,2,2,16,6,-0.13443032,-0.0050543848,-0.99017524,8106,9.8760843,0.42634591,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,0.5,0.5,4,1.5,-0.10038308,0.011283588,-0.98931478,8106,9.8760843,0.42696846,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,1,1,8,3,-0.11273029,0.0058041899,-0.98960949,8106,9.8760843,0.42677475,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,1.5,1.5,12,4.5,-0.12378114,0.00035826983,-0.98989624,8106,9.8760843,0.42656768,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,2,2,16,6,-0.13443032,-0.0050543848,-0.99017524,8106,9.8760843,0.42634591,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,0.5,0.5,4,1.5,-0.096535062,0.01337269,-0.98845415,8105,9.8754989,0.42712286,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,1,1,8,3,-0.10888261,0.0078783822,-0.98877207,8105,9.8754989,0.42692908,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,1.5,1.5,12,4.5,-0.11993333,0.0024176592,-0.98908141,8105,9.8754989,0.42672127,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,2,2,16,6,-0.13058501,-0.0030096929,-0.98938239,8105,9.8754989,0.4264994,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,4,1.5,-0.088267276,0.0047539243,-0.94517462,8105,8.4984287,0.42701627,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,8,3,-0.1015161,7.0528299e-06,-0.94639291,8105,8.4984287,0.42669464,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,12,4.5,-0.11332695,-0.0047143662,-0.94758451,8105,8.4984287,0.4264035,True,,0,0,0,0
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,16,6,-0.12467546,-0.0094104747,-0.94875001,8105,8.4984287,0.4260667,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,4,1.5,-0.072281108,7.5013864,-0.93885637,10478,13.39634,0.42651837,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,1,1,8,3,-0.087939994,7.4695079,-0.9410835,10478,13.39634,0.42633527,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,12,4.5,-0.10244404,7.4377537,-0.94323071,10478,13.39634,0.42614291,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,2,2,16,6,-0.11664235,7.4061232,-0.94530083,10478,13.39634,0.42580863,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,0.5,0.5,4,1.5,-0.072281108,7.5013864,-0.93885637,10478,13.39634,0.42651837,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,1,1,8,3,-0.087939994,7.4695079,-0.9410835,10478,13.39634,0.42633527,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,1.5,1.5,12,4.5,-0.10244404,7.4377537,-0.94323071,10478,13.39634,0.42614291,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,2,2,16,6,-0.11664235,7.4061232,-0.94530083,10478,13.39634,0.42580863,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,4,1.5,-0.10601511,2.1865703,-0.93007397,11593,12.02379,0.42597073,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,8,3,-0.12240235,2.1754368,-0.93181611,11593,12.02379,0.42557139,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,12,4.5,-0.13758579,2.1643582,-0.93351557,11593,12.02379,0.42517655,True,,0,0,0,0
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,16,6,-0.15242318,2.1533342,-0.93517337,11593,12.02379,0.42468132,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,4,1.5,-0.058345957,7.5903061,-0.96403945,11841,15.329111,0.43427218,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,1,1,8,3,-0.075516425,7.5573301,-0.96566744,11841,15.329111,0.43413974,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,12,4.5,-0.091540956,7.5244935,-0.9672226,11841,15.329111,0.4339382,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,2,2,16,6,-0.10724641,7.4917955,-0.96870815,11841,15.329111,0.43368053,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,0.5,0.5,4,1.5,-0.058345957,7.5903061,-0.96403945,11841,15.329111,0.43427218,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,1,1,8,3,-0.075516425,7.5573301,-0.96566744,11841,15.329111,0.43413974,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,1.5,1.5,12,4.5,-0.091540956,7.5244935,-0.9672226,11841,15.329111,0.4339382,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,2,2,16,6,-0.10724641,7.4917955,-0.96870815,11841,15.329111,0.43368053,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,0.5,0.5,4,1.5,-0.092825089,30.282071,-0.97830511,12982,16.671041,0.43483828,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,1,1,8,3,-0.11048594,30.184728,-0.97915586,12982,16.671041,0.4346272,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,1.5,1.5,12,4.5,-0.12696833,30.087684,-0.97997372,12982,16.671041,0.43432382,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,2,2,16,6,-0.14312091,29.990939,-0.98075994,12982,16.671041,0.43397458,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,4,1.5,-0.087191919,2.2080583,-0.95228105,12982,13.409063,0.43473608,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,8,3,-0.10490524,2.1961597,-0.95376106,12982,13.409063,0.43438883,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,12,4.5,-0.12136298,2.1843267,-0.95519577,12982,13.409063,0.43399544,True,,0,0,0,0
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,16,6,-0.13745192,2.1725588,-0.95658653,12982,13.409063,0.43353195,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,5,1,-0.0040953666,-0.038071733,-0.94290308,15056,15.134453,0.40341628,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,1,1,10,2,-0.034516682,-0.046729334,-0.94529118,15056,15.134453,0.40318561,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,15,3,-0.057597106,-0.055291963,-0.94760659,15056,15.134453,0.4028608,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,2,2,20,4,-0.078046876,-0.063760676,-0.94983686,15056,15.134453,0.40270731,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,0.5,0.5,5,1,-0.0040953666,-0.038071733,-0.94290308,15056,15.134453,0.40341628,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,1,1,10,2,-0.034516682,-0.046729334,-0.94529118,15056,15.134453,0.40318561,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,1.5,1.5,15,3,-0.057597106,-0.055291963,-0.94760659,15056,15.134453,0.4028608,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,2,2,20,4,-0.078046876,-0.063760676,-0.94983686,15056,15.134453,0.40270731,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,5,1,0.016414141,-0.011709876,-0.88725458,16321,12.97532,0.40349717,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,10,2,-0.016001783,-0.019373895,-0.89125592,16321,12.97532,0.40279984,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,15,3,-0.040439195,-0.02696447,-0.89511688,16321,12.97532,0.40203948,True,,0,0,0,0
binance_spot,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,20,4,-0.061862057,-0.034482317,-0.89884234,16321,12.97532,0.4015275,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,5,1,-0.015465025,-0.045204021,-0.93792641,15629,15.784015,0.40053807,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_ETH_GT_MA50_GATE,1,1,10,2,-0.046574132,-0.054146415,-0.94082271,15629,15.784015,0.40031148,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_ETH_GT_MA50_GATE,1.5,1.5,15,3,-0.070606689,-0.062986915,-0.94358556,15629,15.784015,0.39996563,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_ETH_GT_MA50_GATE,2,2,20,4,-0.092079646,-0.071726694,-0.94622101,15629,15.784015,0.39977437,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,0.5,0.5,5,1,0.0036154639,-0.017797123,-0.87274668,17030,13.519288,0.40070807,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1,1,10,2,-0.029295267,-0.025738122,-0.87598533,17030,13.519288,0.40000804,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,1.5,1.5,15,3,-0.054576423,-0.033600058,-0.87914369,17030,13.519288,0.39921502,True,,0,0,0,0
binance_spot,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,2,2,20,4,-0.076925203,-0.041383731,-0.88222368,17030,13.519288,0.3987029,True,,0,0,0,0
binance_spot,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,0.5,0.5,5,1,0.017459139,-0.041015285,-0.97693202,9972,9.6591372,0.39769022,True,,0,0,0,0
