market,strategy_id,window_name,window_start,window_end,sharpe,cagr,mdd,trades,valid,violations
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2022-03-30,2022-09-25,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
binance_futures,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.89130901,-0.26062291,-0.90739042,3592,True,
binance_spot,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2025-05-27,2025-11-22,-0.89130901,-0.26062291,-0.90739042,3592,True,
binance_spot,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2025-05-27,2025-11-22,-1.0957432,-0.29798332,-0.838074,3843,True,
binance_spot,KAMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.73652292,-0.20327765,-0.84888235,3494,True,
binance_spot,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2025-05-27,2025-11-22,-0.92328123,-0.24313197,-0.77865897,3794,True,
binance_spot,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.47457092,-0.073354547,-0.89246606,1696,True,
binance_spot,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2025-05-27,2025-11-22,-0.47457092,-0.073354547,-0.89246606,1696,True,
binance_spot,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.59719846,-0.14963072,-0.92474628,1912,True,
binance_spot,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,crisis,2025-05-27,2025-11-22,-0.59719846,-0.14963072,-0.92474628,1912,True,
binance_spot,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2025-05-27,2025-11-22,-0.59719846,-0.14963072,-0.92474628,1912,True,
binance_spot,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2025-05-27,2025-11-22,-0.63983596,-0.13144576,-0.76945165,1912,True,
binance_spot,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.82208828,-0.21051664,-0.84142644,2934,True,
binance_spot,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2025-05-27,2025-11-22,-0.82208828,-0.21051664,-0.84142644,2934,True,
binance_spot,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2025-05-27,2025-11-22,-0.93894768,-0.23449588,-0.76165349,3103,True,
binance_spot,VMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2025-05-27,2025-11-22,-0.91244223,-0.23789953,-0.86126931,3635,True,
binance_spot,VMA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2025-05-27,2025-11-22,-0.91244223,-0.23789953,-0.86126931,3635,True,
binance_spot,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2025-05-27,2025-11-22,-1.020276,-0.32334369,-0.86126931,3904,True,
binance_spot,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2025-05-27,2025-11-22,-1.0527932,-0.26935991,-0.79011849,3904,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-19,2025-12-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2014-07-19,2015-01-14,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-21,2025-11-19,0,0,0,0,True,
bithumb_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-19,2025-12-19,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_ETH_GT_MA50_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,late,2025-11-18,2025-12-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,crisis,2018-01-06,2018-07-04,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,early,2025-10-20,2025-11-18,0,0,0,0,True,
upbit_krw,VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,late,2025-11-18,2025-12-18,0,0,0,0,True,
