strategy_id,market,window_name,trades,window_status
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,late,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,early,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,binance_futures,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,binance_futures,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_futures,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_futures,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,binance_spot,crisis,3592,EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,binance_spot,crisis,3592,EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_spot,crisis,3843,EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,binance_spot,crisis,3494,EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_spot,crisis,3794,EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,binance_spot,crisis,1696,EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,binance_spot,crisis,1696,EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,binance_spot,crisis,1912,EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,binance_spot,crisis,1912,EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_spot,crisis,1912,EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_spot,crisis,1912,EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,binance_spot,crisis,2934,EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,binance_spot,crisis,2934,EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_spot,crisis,3103,EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,binance_spot,crisis,3635,EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,binance_spot,crisis,3635,EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,binance_spot,crisis,3904,EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,binance_spot,crisis,3904,EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,bithumb_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,bithumb_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
BOLL_MID_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
KAMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_INDEX_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,late,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
SUPERTREND_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
VIDYA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_GATE,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_ETH_GT_MA50_SIZING,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_GATE,upbit_krw,late,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,crisis,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,early,0,NOT_EXERCISED
VMA_TSMOM_30_SCORE_AVG_GT_1_SIZING,upbit_krw,late,0,NOT_EXERCISED
